GEOID,year,state,county,crime,value
01001,2014,Alabama,Autauga,All Crime,1702.29
01001,2014,Alabama,Autauga,Violent Crime,40.2
01001,2014,Alabama,Autauga,Property Crime,464.9
01001,2014,Alabama,Autauga,Murder,1.75
01001,2014,Alabama,Autauga,Rape,1.75
01001,2014,Alabama,Autauga,Robbery,17.48
01001,2014,Alabama,Autauga,Assault,20.97
01001,2014,Alabama,Autauga,Burglary,17.48
01001,2014,Alabama,Autauga,Larceny,440.43
01001,2014,Alabama,Autauga,Auto Theft,5.24
01001,2014,Alabama,Autauga,Arson,0
01001,2014,Alabama,Autauga,Other Assault,218.47
01001,2014,Alabama,Autauga,Forgery,8.74
01001,2014,Alabama,Autauga,Fraud,29.71
01001,2014,Alabama,Autauga,Embezzlement,6.99
01001,2014,Alabama,Autauga,Stolen Prop,17.48
01001,2014,Alabama,Autauga,Vandalism,6.99
01001,2014,Alabama,Autauga,Weapon Violation,13.98
01001,2014,Alabama,Autauga,Prostitution,0
01001,2014,Alabama,Autauga,Sex Offense,1.75
01001,2014,Alabama,Autauga,Drug Related,110.11
01001,2014,Alabama,Autauga,Gambling,0
01001,2014,Alabama,Autauga,Family Child,0
01001,2014,Alabama,Autauga,DUI,146.81
01001,2014,Alabama,Autauga,Liquor Violation,36.7
01001,2014,Alabama,Autauga,Drunkenness,118.85
01001,2014,Alabama,Autauga,Disorderly,20.97
01001,2014,Alabama,Autauga,Vagrancy,5.24
01001,2014,Alabama,Autauga,Other,454.41
01001,2014,Alabama,Autauga,Suspicion,0
01001,2014,Alabama,Autauga,Curfew,0
01001,2014,Alabama,Autauga,Runaway,0
01003,2014,Alabama,Baldwin,All Crime,2253.03
01003,2014,Alabama,Baldwin,Violent Crime,46.77
01003,2014,Alabama,Baldwin,Property Crime,359.08
01003,2014,Alabama,Baldwin,Murder,0.5
01003,2014,Alabama,Baldwin,Rape,1.01
01003,2014,Alabama,Baldwin,Robbery,13.58
01003,2014,Alabama,Baldwin,Assault,31.18
01003,2014,Alabama,Baldwin,Burglary,22.63
01003,2014,Alabama,Baldwin,Larceny,326.89
01003,2014,Alabama,Baldwin,Auto Theft,8.05
01003,2014,Alabama,Baldwin,Arson,1.51
01003,2014,Alabama,Baldwin,Other Assault,233.35
01003,2014,Alabama,Baldwin,Forgery,5.53
01003,2014,Alabama,Baldwin,Fraud,30.17
01003,2014,Alabama,Baldwin,Embezzlement,3.02
01003,2014,Alabama,Baldwin,Stolen Prop,22.63
01003,2014,Alabama,Baldwin,Vandalism,8.55
01003,2014,Alabama,Baldwin,Weapon Violation,12.57
01003,2014,Alabama,Baldwin,Prostitution,0
01003,2014,Alabama,Baldwin,Sex Offense,7.54
01003,2014,Alabama,Baldwin,Drug Related,52.81
01003,2014,Alabama,Baldwin,Gambling,0
01003,2014,Alabama,Baldwin,Family Child,2.51
01003,2014,Alabama,Baldwin,DUI,214.74
01003,2014,Alabama,Baldwin,Liquor Violation,43.75
01003,2014,Alabama,Baldwin,Drunkenness,120.2
01003,2014,Alabama,Baldwin,Disorderly,18.1
01003,2014,Alabama,Baldwin,Vagrancy,3.02
01003,2014,Alabama,Baldwin,Other,1069.19
01003,2014,Alabama,Baldwin,Suspicion,0
01003,2014,Alabama,Baldwin,Curfew,0
01003,2014,Alabama,Baldwin,Runaway,0
01005,2014,Alabama,Barbour,All Crime,1609.56
01005,2014,Alabama,Barbour,Violent Crime,55.5
01005,2014,Alabama,Barbour,Property Crime,440.32
01005,2014,Alabama,Barbour,Murder,0
01005,2014,Alabama,Barbour,Rape,0
01005,2014,Alabama,Barbour,Robbery,22.2
01005,2014,Alabama,Barbour,Assault,29.6
01005,2014,Alabama,Barbour,Burglary,44.4
01005,2014,Alabama,Barbour,Larceny,388.51
01005,2014,Alabama,Barbour,Auto Theft,3.7
01005,2014,Alabama,Barbour,Arson,0
01005,2014,Alabama,Barbour,Other Assault,247.91
01005,2014,Alabama,Barbour,Forgery,7.4
01005,2014,Alabama,Barbour,Fraud,25.9
01005,2014,Alabama,Barbour,Embezzlement,7.4
01005,2014,Alabama,Barbour,Stolen Prop,14.8
01005,2014,Alabama,Barbour,Vandalism,7.4
01005,2014,Alabama,Barbour,Weapon Violation,11.1
01005,2014,Alabama,Barbour,Prostitution,0
01005,2014,Alabama,Barbour,Sex Offense,0
01005,2014,Alabama,Barbour,Drug Related,96.2
01005,2014,Alabama,Barbour,Gambling,0
01005,2014,Alabama,Barbour,Family Child,0
01005,2014,Alabama,Barbour,DUI,129.5
01005,2014,Alabama,Barbour,Liquor Violation,33.3
01005,2014,Alabama,Barbour,Drunkenness,103.6
01005,2014,Alabama,Barbour,Disorderly,22.2
01005,2014,Alabama,Barbour,Vagrancy,3.7
01005,2014,Alabama,Barbour,Other,407.02
01005,2014,Alabama,Barbour,Suspicion,0
01005,2014,Alabama,Barbour,Curfew,0
01005,2014,Alabama,Barbour,Runaway,0
01007,2014,Alabama,Bibb,All Crime,1093.77
01007,2014,Alabama,Bibb,Violent Crime,57.8
01007,2014,Alabama,Bibb,Property Crime,244.54
01007,2014,Alabama,Bibb,Murder,0
01007,2014,Alabama,Bibb,Rape,0
01007,2014,Alabama,Bibb,Robbery,17.78
01007,2014,Alabama,Bibb,Assault,35.57
01007,2014,Alabama,Bibb,Burglary,17.78
01007,2014,Alabama,Bibb,Larceny,208.97
01007,2014,Alabama,Bibb,Auto Theft,22.23
01007,2014,Alabama,Bibb,Arson,0
01007,2014,Alabama,Bibb,Other Assault,191.19
01007,2014,Alabama,Bibb,Forgery,8.89
01007,2014,Alabama,Bibb,Fraud,8.89
01007,2014,Alabama,Bibb,Embezzlement,13.34
01007,2014,Alabama,Bibb,Stolen Prop,17.78
01007,2014,Alabama,Bibb,Vandalism,13.34
01007,2014,Alabama,Bibb,Weapon Violation,8.89
01007,2014,Alabama,Bibb,Prostitution,0
01007,2014,Alabama,Bibb,Sex Offense,13.34
01007,2014,Alabama,Bibb,Drug Related,0
01007,2014,Alabama,Bibb,Gambling,0
01007,2014,Alabama,Bibb,Family Child,0
01007,2014,Alabama,Bibb,DUI,84.48
01007,2014,Alabama,Bibb,Liquor Violation,0
01007,2014,Alabama,Bibb,Drunkenness,4.45
01007,2014,Alabama,Bibb,Disorderly,35.57
01007,2014,Alabama,Bibb,Vagrancy,0
01007,2014,Alabama,Bibb,Other,400.16
01007,2014,Alabama,Bibb,Suspicion,0
01007,2014,Alabama,Bibb,Curfew,0
01007,2014,Alabama,Bibb,Runaway,0
01009,2014,Alabama,Blount,All Crime,1385.32
01009,2014,Alabama,Blount,Violent Crime,5.17
01009,2014,Alabama,Blount,Property Crime,130.95
01009,2014,Alabama,Blount,Murder,0
01009,2014,Alabama,Blount,Rape,0
01009,2014,Alabama,Blount,Robbery,0
01009,2014,Alabama,Blount,Assault,5.17
01009,2014,Alabama,Blount,Burglary,1.72
01009,2014,Alabama,Blount,Larceny,124.06
01009,2014,Alabama,Blount,Auto Theft,3.45
01009,2014,Alabama,Blount,Arson,0
01009,2014,Alabama,Blount,Other Assault,96.49
01009,2014,Alabama,Blount,Forgery,0
01009,2014,Alabama,Blount,Fraud,39.63
01009,2014,Alabama,Blount,Embezzlement,0
01009,2014,Alabama,Blount,Stolen Prop,0
01009,2014,Alabama,Blount,Vandalism,13.78
01009,2014,Alabama,Blount,Weapon Violation,6.89
01009,2014,Alabama,Blount,Prostitution,0
01009,2014,Alabama,Blount,Sex Offense,0
01009,2014,Alabama,Blount,Drug Related,3.45
01009,2014,Alabama,Blount,Gambling,0
01009,2014,Alabama,Blount,Family Child,3.45
01009,2014,Alabama,Blount,DUI,89.6
01009,2014,Alabama,Blount,Liquor Violation,87.87
01009,2014,Alabama,Blount,Drunkenness,39.63
01009,2014,Alabama,Blount,Disorderly,6.89
01009,2014,Alabama,Blount,Vagrancy,0
01009,2014,Alabama,Blount,Other,859.8
01009,2014,Alabama,Blount,Suspicion,0
01009,2014,Alabama,Blount,Curfew,0
01009,2014,Alabama,Blount,Runaway,0
01011,2014,Alabama,Bullock,All Crime,1483.09
01011,2014,Alabama,Bullock,Violent Crime,141.7
01011,2014,Alabama,Bullock,Property Crime,160.59
01011,2014,Alabama,Bullock,Murder,0
01011,2014,Alabama,Bullock,Rape,0
01011,2014,Alabama,Bullock,Robbery,37.79
01011,2014,Alabama,Bullock,Assault,103.91
01011,2014,Alabama,Bullock,Burglary,37.79
01011,2014,Alabama,Bullock,Larceny,85.02
01011,2014,Alabama,Bullock,Auto Theft,18.89
01011,2014,Alabama,Bullock,Arson,18.89
01011,2014,Alabama,Bullock,Other Assault,377.86
01011,2014,Alabama,Bullock,Forgery,56.68
01011,2014,Alabama,Bullock,Fraud,56.68
01011,2014,Alabama,Bullock,Embezzlement,0
01011,2014,Alabama,Bullock,Stolen Prop,56.68
01011,2014,Alabama,Bullock,Vandalism,18.89
01011,2014,Alabama,Bullock,Weapon Violation,85.02
01011,2014,Alabama,Bullock,Prostitution,0
01011,2014,Alabama,Bullock,Sex Offense,0
01011,2014,Alabama,Bullock,Drug Related,0
01011,2014,Alabama,Bullock,Gambling,0
01011,2014,Alabama,Bullock,Family Child,0
01011,2014,Alabama,Bullock,DUI,103.91
01011,2014,Alabama,Bullock,Liquor Violation,0
01011,2014,Alabama,Bullock,Drunkenness,66.13
01011,2014,Alabama,Bullock,Disorderly,94.46
01011,2014,Alabama,Bullock,Vagrancy,0
01011,2014,Alabama,Bullock,Other,264.5
01011,2014,Alabama,Bullock,Suspicion,0
01011,2014,Alabama,Bullock,Curfew,0
01011,2014,Alabama,Bullock,Runaway,0
01013,2014,Alabama,Butler,All Crime,4622.5
01013,2014,Alabama,Butler,Violent Crime,253.49
01013,2014,Alabama,Butler,Property Crime,1192.9
01013,2014,Alabama,Butler,Murder,0
01013,2014,Alabama,Butler,Rape,39.76
01013,2014,Alabama,Butler,Robbery,44.73
01013,2014,Alabama,Butler,Assault,173.96
01013,2014,Alabama,Butler,Burglary,94.44
01013,2014,Alabama,Butler,Larceny,1058.7
01013,2014,Alabama,Butler,Auto Theft,39.76
01013,2014,Alabama,Butler,Arson,0
01013,2014,Alabama,Butler,Other Assault,740.59
01013,2014,Alabama,Butler,Forgery,19.88
01013,2014,Alabama,Butler,Fraud,313.14
01013,2014,Alabama,Butler,Embezzlement,0
01013,2014,Alabama,Butler,Stolen Prop,34.79
01013,2014,Alabama,Butler,Vandalism,49.7
01013,2014,Alabama,Butler,Weapon Violation,29.82
01013,2014,Alabama,Butler,Prostitution,0
01013,2014,Alabama,Butler,Sex Offense,0
01013,2014,Alabama,Butler,Drug Related,19.88
01013,2014,Alabama,Butler,Gambling,0
01013,2014,Alabama,Butler,Family Child,49.7
01013,2014,Alabama,Butler,DUI,154.08
01013,2014,Alabama,Butler,Liquor Violation,24.85
01013,2014,Alabama,Butler,Drunkenness,119.29
01013,2014,Alabama,Butler,Disorderly,144.14
01013,2014,Alabama,Butler,Vagrancy,0
01013,2014,Alabama,Butler,Other,1471.25
01013,2014,Alabama,Butler,Suspicion,0
01013,2014,Alabama,Butler,Curfew,0
01013,2014,Alabama,Butler,Runaway,0
01015,2014,Alabama,Calhoun,All Crime,2035.1
01015,2014,Alabama,Calhoun,Violent Crime,55.68
01015,2014,Alabama,Calhoun,Property Crime,379.76
01015,2014,Alabama,Calhoun,Murder,1.66
01015,2014,Alabama,Calhoun,Rape,1.66
01015,2014,Alabama,Calhoun,Robbery,24.1
01015,2014,Alabama,Calhoun,Assault,29.08
01015,2014,Alabama,Calhoun,Burglary,40.72
01015,2014,Alabama,Calhoun,Larceny,329.07
01015,2014,Alabama,Calhoun,Auto Theft,9.97
01015,2014,Alabama,Calhoun,Arson,0
01015,2014,Alabama,Calhoun,Other Assault,236.83
01015,2014,Alabama,Calhoun,Forgery,13.3
01015,2014,Alabama,Calhoun,Fraud,43.21
01015,2014,Alabama,Calhoun,Embezzlement,4.15
01015,2014,Alabama,Calhoun,Stolen Prop,20.77
01015,2014,Alabama,Calhoun,Vandalism,15.79
01015,2014,Alabama,Calhoun,Weapon Violation,11.63
01015,2014,Alabama,Calhoun,Prostitution,0
01015,2014,Alabama,Calhoun,Sex Offense,2.49
01015,2014,Alabama,Calhoun,Drug Related,63.99
01015,2014,Alabama,Calhoun,Gambling,0
01015,2014,Alabama,Calhoun,Family Child,1.66
01015,2014,Alabama,Calhoun,DUI,153.73
01015,2014,Alabama,Calhoun,Liquor Violation,115.51
01015,2014,Alabama,Calhoun,Drunkenness,105.54
01015,2014,Alabama,Calhoun,Disorderly,19.94
